batch,case,problem,num_cores,seed,logical_call,stage,name,family,status,cache_hit,makespan,best_so_far,elapsed_seconds,record_path,plan_sha256
component_p2_seed17,case_001,2,2,17,1,component,wcc_start0_simple_a2_per_core_lpt_mv,whole_component_reference,success,True,116868,116868,0.01881729206070304,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T164705-5683d99a6e194e61afecd1d99079d46d/record.json,8ca4384582024a302822bbd6429af5d4c2e18ee7cdb3365c1ff586bfcb80c843
component_p2_seed17,case_001,2,2,17,2,component,wcc_start0_simple_a1_per_core_lpt_mv,whole_component_reference,success,True,233110,116868,0.004585416987538338,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T164705-8643cd8065c44ef0a9e7c1c1defab073/record.json,7e15cab3523ef954f27e9bd3f2f402aa384543f3a311c2bf52028deebef69bb9
component_p2_seed17,case_001,2,2,17,3,component,wcc_task_1_mv_complement_batch2,whole_component_reference,success,True,116868,116868,0.00430516607593745,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T164705-eb97808b29a64108b2c207bfa3f6b10b/record.json,726944eb15b7f8cfa5359e021234945f3b5c22e40f7eae66a35014b30007a881
component_p2_seed17,case_001,2,2,17,4,component,wcc_start0_simple_a2_per_component_lpt_mv,whole_component_reference,success,True,116868,116868,0.004442417062819004,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T164705-4e8a34e2b1724cfe81aa48a015bbd41e/record.json,cb9bdee7e8ee3901729f5f0b7e1d01654546bfe7cf70dd6e5e8d51c147a51efe
component_p2_seed17,case_001,2,2,17,5,component,wcc_task_1_mv_complement_batch4,whole_component_reference,success,False,116868,116868,0.24366204207763076,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T164705-2160d8c5899b4f8aa4a9a6f82ac4bd6e/record.json,bccafd55fa86bf1f0d3728fe5655c5adf5ea3c9107ee8e001c5c430ad9bdec64
component_p2_seed17,case_001,2,2,17,6,component,wcc_task_0_mv_complement_batch2,whole_component_reference,success,False,233110,116868,0.29328325006645173,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T164706-46eed022c89047b0b61f2158b14c3552/record.json,4c7132612049dda71a3111cfb85c07b8900fb8c3e9e39dc4828ab44966333295
component_p2_seed17,case_001,2,2,17,7,component,wcc_start0_simple_a1_per_component_lpt_mv,whole_component_reference,success,True,233110,116868,0.005164333037100732,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T164706-e76cf6c79b544fd998d14e8c30c70555/record.json,ec864bf903ff6a102477edbd9e4770ebaa0a9a881f5dc9e109a5ecbf97e7a78d
component_p2_seed17,case_001,2,2,17,8,component,wcc_task_0_mv_complement_batch4,whole_component_reference,success,False,233110,116868,0.30466316593810916,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T164706-7ebb03199c6d4c80b04e45be5663172d/record.json,3fc230a5ec3257dd301fbe743c4519c51ff40b57c01176b7e3ee271a2f6b39f7
component_p2_seed17,case_001,2,3,17,1,component,wcc_start0_simple_a3_per_core_lpt_mv,whole_component_reference,success,True,78545,78545,0.024585833074525,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T164707-874611595d1941fe88d628dd2cbca698/record.json,70dee0dc9f57175a555319bda57daaa5f5af5c97d198e3f5072993d5fe75e6d0
component_p2_seed17,case_001,2,3,17,2,component,wcc_start0_simple_a1_per_core_lpt_mv,whole_component_reference,success,True,233110,78545,0.004405749961733818,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T164707-1b1e81c18a89488c9ab4891f703957da/record.json,033c45712144e87fa6ce94fb69422b59b27eac9437e13d5a9f3d7df09279015a
