group,case,problem,num_cores,policy,before,after,logical_calls,new_calls,failed_calls,elapsed_seconds,generation_seconds,stop_reason,status,summary_path,reduction_pct
development_v2,case_047,1,5,legacy,321049,318650,3,0,0,1.4314145839307457,1.2486055839108303,neighborhood_exhausted,success,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/区域搜索开发_v2/slots/case_047/p1_n5/legacy/summary.json,0.7472379605605428
development_v2,case_048,1,5,legacy,211661,211661,6,0,0,0.13438137504272163,0.10158595896791667,neighborhood_exhausted,success,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/区域搜索开发_v2/slots/case_048/p1_n5/legacy/summary.json,0.0
development_v2,case_048,1,5,joint,211661,134494,24,18,0,9.509520500083454,2.675217206007801,call_budget,success,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/区域搜索开发_v2/slots/case_048/p1_n5/joint/summary.json,36.45782642999892
development_v2,case_075,1,5,legacy,1322078,1283702,24,12,0,23.794391707982868,1.9964347099885345,call_budget,success,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/区域搜索开发_v2/slots/case_075/p1_n5/legacy/summary.json,2.9027031687994254
development_v2,case_047,1,5,joint,321049,214215,24,18,0,80.86987304105423,26.30624774901662,call_budget,success,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/区域搜索开发_v2/slots/case_047/p1_n5/joint/summary.json,33.27654034119403
development_v2,case_075,1,5,joint,1322078,478842,24,18,0,74.31546299997717,15.560886042076163,call_budget,success,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/区域搜索开发_v2/slots/case_075/p1_n5/joint/summary.json,63.78110822508203
development_v2,case_085,1,5,legacy,2760933,2716647,24,12,0,36.25086879194714,4.032654584036209,call_budget,success,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/区域搜索开发_v2/slots/case_085/p1_n5/legacy/summary.json,1.6040229878812706
development_v2,case_009,2,5,legacy,51486,51486,24,12,0,9.395341000054032,0.7688363749766722,call_budget,success,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/区域搜索开发_v2/slots/case_009/p2_n5/legacy/summary.json,0.0
development_v2,case_009,2,5,joint,51486,50086,24,13,0,13.76829475001432,3.9487484990386292,call_budget,success,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/区域搜索开发_v2/slots/case_009/p2_n5/joint/summary.json,2.7191857980810363
development_v2,case_009,3,5,legacy,46976,46943,24,12,0,12.5679825830739,3.306170124793425,call_budget,success,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/区域搜索开发_v2/slots/case_009/p3_n5/legacy/summary.json,0.07024863760217714
development_v2,case_009,3,5,joint,46976,46768,24,12,0,13.535483540967107,4.2111654579639435,call_budget,success,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/区域搜索开发_v2/slots/case_009/p3_n5/joint/summary.json,0.44277929155313034
development_v2,case_048,2,5,legacy,98926,98926,24,12,0,3.433488499955274,0.352650000131689,call_budget,success,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/区域搜索开发_v2/slots/case_048/p2_n5/legacy/summary.json,0.0
development_v2,case_048,2,5,joint,98926,98926,24,12,0,3.4679825420025736,0.34731824905611575,call_budget,success,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/区域搜索开发_v2/slots/case_048/p2_n5/joint/summary.json,0.0
development_v2,case_048,3,5,legacy,98781,98366,24,12,0,5.602420791983604,1.874954083818011,call_budget,success,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/区域搜索开发_v2/slots/case_048/p3_n5/legacy/summary.json,0.42012127838348956
development_v2,case_048,3,5,joint,98781,98781,24,12,0,5.203477791976184,1.4237577500753105,call_budget,success,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/区域搜索开发_v2/slots/case_048/p3_n5/joint/summary.json,0.0
development_v2,case_071,2,5,legacy,8852,8852,24,12,0,1.7366535840556026,0.062000875012017787,call_budget,success,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/区域搜索开发_v2/slots/case_071/p2_n5/legacy/summary.json,0.0
development_v2,case_071,2,5,joint,8852,8107,24,12,0,2.0922317910008132,0.35262683196924627,call_budget,success,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/区域搜索开发_v2/slots/case_071/p2_n5/joint/summary.json,8.416177135110715
development_v2,case_071,3,5,legacy,7494,7494,24,12,0,1.9670595000497997,0.2743855840526521,call_budget,success,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/区域搜索开发_v2/slots/case_071/p3_n5/legacy/summary.json,0.0
